Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,R,D,D,D,D,D,D,D,D,D,D,D
1962,D,D,D,D,D,D,D,D,D,D,D,D
1963,D,D,D,D,D,D,D,D,D,D,D,D
1964,D,D,D,D,D,D,D,D,D,D,D,D
1965,D,D,D,D,D,D,D,D,D,D,D,D
1966,D,D,D,D,D,D,D,D,D,D,D,D
1967,D,D,D,D,D,D,D,D,D,D,D,D
1968,D,D,D,D,D,D,D,D,D,D,D,D
1969,D,R,R,R,R,R,R,R,R,R,R,R
1970,R,R,R,R,R,R,R,R,R,R,R,R
1971,R,R,R,R,R,R,R,R,R,R,R,R
1972,R,R,R,R,R,R,R,R,R,R,R,R
1973,R,R,R,R,R,R,R,R,R,R,R,R
1974,R,R,R,R,R,R,R,R,R,R,R,R
1975,R,R,R,R,R,R,R,R,R,R,R,R
1976,R,R,R,R,R,R,R,R,R,R,R,R
1977,R,R,R,R,R,R,R,R,R,R,R,R
1978,R,R,R,R,R,R,R,R,R,R,R,R
1979,R,D,D,D,D,D,D,D,D,D,D,D
1980,D,D,D,D,D,D,D,D,D,D,D,D
1981,D,D,D,D,D,D,D,D,D,D,D,D
1982,D,D,D,D,D,D,D,D,D,D,D,D
1983,D,R,R,R,R,R,R,R,R,R,R,R
1984,R,R,R,R,R,R,R,R,R,R,R,R
1985,R,R,R,R,R,R,R,R,R,R,R,R
1986,R,R,R,R,R,R,R,R,R,R,R,R
1987,R,R,R,R,R,R,R,R,R,R,R,R
1988,R,R,R,R,R,R,R,R,R,R,R,R
1989,R,R,R,R,R,R,R,R,R,R,R,R
1990,R,R,R,R,R,R,R,R,R,R,R,R
1991,R,R,R,R,R,R,R,R,R,R,R,R
1992,R,R,R,R,R,R,R,R,R,R,R,R
1993,R,D,D,D,D,D,D,D,D,D,D,D
1994,D,D,D,D,D,D,D,D,D,D,D,D
1995,D,D,D,D,D,D,D,D,D,D,D,D
1996,D,D,D,D,D,D,D,D,D,D,D,D
1997,D,D,D,D,D,D,D,D,D,D,D,D
1998,D,D,D,D,D,D,D,D,D,D,D,D
1999,D,D,D,D,D,D,D,D,D,D,D,D
2000,D,D,D,D,D,D,D,D,D,D,D,D
2001,D,R,R,R,R,R,R,R,R,R,R,R
2002,R,R,R,R,R,R,R,R,R,R,R,R
2003,R,R,R,R,R,R,R,R,R,R,R,R
2004,R,R,R,R,R,R,R,R,R,R,R,R
2005,R,R,R,R,R,R,R,R,R,R,R,R
2006,R,R,R,R,R,R,R,R,R,R,R,R
2007,R,R,R,R,R,R,R,R,R,R,R,R
2008,R,R,R,R,R,R,R,R,R,R,R,R
2009,R,D,D,D,D,D,D,D,D,D,D,D
2010,D,D,D,D,D,D,D,D,D,D,D,D
2011,D,D,D,D,D,D,D,D,D,D,D,D
2012,D,D,D,D,D,D,D,D,D,D,D,D
